Fecha	FB	AMZN	AAPL	NFLX	GOOG
19/11/20	272,94	3117,02	118,64	484,67	1763,92
18/11/20	271,97	3105,46	118,03	481,79	1746,78
17/11/20	275,00	3135,66	119,39	480,63	1770,15
16/11/20	278,96	3131,06	120,30	479,10	1781,38
13/11/20	276,95	3128,81	119,26	482,84	1777,02
12/11/20	275,08	3110,28	119,21	486,77	1749,84
11/11/20	276,48	3137,39	119,49	490,76	1752,71
10/11/20	272,43	3035,02	115,97	480,24	1740,39
9/11/20	278,77	3143,74	116,32	470,50	1763,00
6/11/20	293,41	3311,37	118,69	514,73	1761,75
5/11/20	294,68	3322,00	119,03	513,76	1763,37
4/11/20	287,38	3241,16	114,95	496,95	1749,13
3/11/20	265,30	3048,41	110,44	487,22	1650,21
2/11/20	261,36	3004,48	108,77	484,12	1626,03
30/10/20	263,11	3036,15	108,86	475,74	1621,01
29/10/20	280,83	3211,01	115,32	504,21	1567,24
28/10/20	267,67	3162,78	111,20	486,24	1516,62
27/10/20	283,29	3286,33	116,60	488,93	1604,26
26/10/20	277,11	3207,04	115,05	488,24	1590,45
23/10/20	284,79	3204,40	115,04	488,28	1641,00
22/10/20	278,12	3176,40	115,75	485,23	1615,33
21/10/20	278,73	3184,94	116,87	489,05	1593,31
20/10/20	267,56	3217,01	117,51	525,42	1555,93
19/10/20	261,40	3207,21	115,98	530,72	1534,61
16/10/20	265,93	3272,71	119,02	530,79	1573,01
15/10/20	266,72	3338,65	120,71	541,94	1559,13
14/10/20	271,82	3363,71	121,19	541,45	1568,08
13/10/20	276,14	3443,63	121,10	554,09	1571,68
12/10/20	275,75	3442,93	124,40	539,81	1569,15
9/10/20	264,45	3286,65	116,97	539,44	1515,22
8/10/20	263,76	3190,55	114,97	531,79	1485,93
7/10/20	258,12	3195,69	115,08	534,66	1460,29
6/10/20	258,66	3099,96	113,16	505,87	1453,44
5/10/20	264,65	3199,20	116,50	520,65	1486,02
2/10/20	259,94	3125,00	113,02	503,06	1458,42
1/10/20	266,63	3221,26	116,79	527,51	1490,09
30/9/20	261,90	3148,73	115,81	500,03	1469,60
29/9/20	261,79	3144,88	114,09	493,48	1469,33
28/9/20	256,82	3174,05	114,96	490,65	1464,52
25/9/20	254,82	3095,13	112,28	482,88	1444,96
24/9/20	249,53	3019,79	108,22	473,08	1428,29
23/9/20	249,02	2999,86	107,12	470,61	1415,21
22/9/20	254,75	3128,99	111,81	491,17	1465,46
21/9/20	248,15	2960,47	110,08	487,35	1431,16
18/9/20	252,53	2954,91	106,84	469,96	1459,99
17/9/20	254,82	3008,73	110,34	470,20	1495,53
16/9/20	263,52	3078,10	112,13	483,86	1520,90
15/9/20	272,42	3156,13	115,54	495,99	1541,44
14/9/20	266,15	3102,97	115,36	476,26	1519,28
11/9/20	266,61	3116,22	112,00	482,03	1520,72
10/9/20	268,09	3175,11	113,49	480,67	1532,02
9/9/20	273,72	3268,61	117,32	500,19	1556,96
8/9/20	271,16	3149,84	112,82	507,02	1532,39
4/9/20	282,73	3294,62	120,96	516,05	1591,04
3/9/20	291,12	3368,00	120,88	525,75	1641,84
2/9/20	302,50	3531,45	131,40	552,84	1728,28
1/9/20	295,44	3499,12	134,18	556,55	1660,71
31/8/20	293,20	3450,96	129,04	529,56	1634,18
28/8/20	293,66	3401,80	124,81	523,89	1644,41
27/8/20	293,22	3400,00	125,01	526,27	1634,33
26/8/20	303,91	3441,85	126,52	547,53	1652,38
25/8/20	280,82	3346,49	124,83	490,58	1608,22
24/8/20	271,39	3307,46	125,86	488,81	1588,20
21/8/20	267,01	3284,72	124,37	492,31	1580,42
20/8/20	269,01	3297,37	118,28	497,90	1581,75
